Set No.,Set Name,Player,Country,State Association,Age,Specialism,Batting,Bowling,IPL,Previous IPLTeam(s),2021 Team,C/U/A,Base Price,Sold Price,New Franchise
4,WK1,Matthew Wade,Australia,,34,WICKETKEEPER,LHB,-,3,DD,,Capped,2 CR,2.40 CR,Gujarat Titans
5,FA1,Deepak Chahar,India,RCA,29,BOWLER,RHB,RIGHT ARM Fast Medium,63,"RPS, CSK",CSK,Capped,2 CR,14 CR,Chennai Super Kings
5,FA1,Lockie Ferguson,New Zealand,,30,BOWLER,RHB,RIGHT ARM Fast,22,"RPS, KKR",KKR,Capped,2 CR,10 CR,Gujarat Titans
5,FA1,Josh Hazlewood,Australia,,31,BOWLER,LHB,RIGHT ARM Fast,12,CSK,CSK,Capped,2 CR,7.75 CR,Royal Challengers Bangalore
5,FA1,Prasidh Krishna,India,KSCA,26,BOWLER,RHB,RIGHT ARM Fast,34,KKR,KKR,Capped,1 CR,10 CR,Rajasthan Royals
5,FA1,Bhuvneshwar Kumar,India,UPCA,32,BOWLER,RHB,RIGHT ARM Fast Medium,132,"PWI, SRH",SRH,Capped,2 CR,4.2 CR,Sunrisers Hyderabad
5,FA1,Mustafizur Rahman,Bangladesh,,26,BOWLER,LHB,LEFT ARM Fast Medium,38,"SRH, MI, RR",RR,Capped,2 CR,2 CR,Delhi Capitals
5,FA1,Shardul Thakur,India,MCA,30,BOWLER,RHB,RIGHT ARM Fast Medium,61,"KXIP, RPS, CSK",CSK,Capped,2 CR,10.75 CR,Delhi Capitals
5,FA1,Mark Wood,England,,32,BOWLER,RHB,RIGHT ARM Fast,1,CSK,,Capped,2 CR,7.5 CR,Lucknow Super Giants
5,FA1,Umesh Yadav,India,VCA,34,BOWLER,RHB,RIGHT ARM Fast,121,"DD, KKR,RCB,DC",DC,Capped,2 CR,2 CR,Kolkata Knight Riders
6,SP1,Yuzvendra Chahal,India,HCA,31,BOWLER,RHB,RIGHT ARM Leg Spin,114,"MI,RCB",RCB,Capped,2 CR,6.5 CR,Rajasthan Royals
6,SP1,Rahul Chahar,India,RCA,22,BOWLER,RHB,RIGHT ARM Leg Spin,42,"RPS, MI",MI,Capped,75 L,5.25 CR,Punjab Kings
6,SP1,Kuldeep Yadav,India,UPCA,27,BOWLER,LHB,LEFT ARM Slow Unorthodox,45,KKR,KKR,Capped,1 CR,2 CR,Delhi Capitals
7,UBA1,Dewald Brevis,South Africa,,18,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20 L,3 CR,Mumbai Indians
7,UBA1,Priyam Garg,India,UPCA,21,BATSMAN,RHB,RIGHT ARM Off Spin,19,SRH,SRH,Uncapped,20 L,20 L,Sunrisers Hyderabad
7,UBA1,Ashwin Hebbar,India,ACA,26,BATSMAN,RHB,RIGHT ARM Medium,,,,Uncapped,20 L,20 L,Delhi Capitals
7,UBA1,Abhinav Sadarangani,India,KSCA,27,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,Uncapped,20 L,2.6 CR,Gujarat Titans
7,UBA1,Anmolpreet Singh,India,PCA,24,BATSMAN,RHB,RIGHT ARM Off Spin,1,MI,MI,Uncapped,20 L,20 L,Mumbai Indians
7,UBA1,Rahul Tripathi,India,MACA,31,BATSMAN,RHB,RIGHT ARM Medium,62,"RPS, RR, KKR",KKR,Uncapped,40 L,8.5 CR,Sunrisers Hyderabad
8,UAL1,Shahbaz Ahamad,India,CAB,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,13,RCB,RCB,Uncapped,30 L,2.4 CR,Royal Challengers Bangalore
8,UAL1,Harpreet Brar,India,PCA,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,10,PBKS,PBKS,Uncapped,20 L,3.8 CR,Punjab Kings
8,UAL1,Deepak Hooda,India,RCA,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,80,"RR, SRH, PBKS",PBKS,Uncapped,75 L,5.75 CR,Lucknow Super Giants
8,UAL1,Sarfaraz Khan,India,MCA,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,40,"RCB,PBKS",PBKS,Uncapped,20 L,20 L,Delhi Capitals
8,UAL1,Shahrukh Khan,India,TNCA,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,11,PBKS,PBKS,Uncapped,40 L,9 CR,Punjab Kings
8,UAL1,Shivam Mavi,India,UPCA,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,26,KKR,KKR,Uncapped,40 L,7.25 CR,Kolkata Knight Riders
8,UAL1,Kamlesh Nagarkoti,India,RCA,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,11,KKR,KKR,Uncapped,40 L,1.1 CR,Delhi Capitals
